calculate_date,book_match_count,book_not_match_count,payment_match_count,payment_not_match_count,book_mailroom,book_vendor,book_epayment,payment_mailroom,payment_vendor,payment_epayment,aff_company
16/05/20,1,3,743,514,0,0,0,0,0,0,760010
16/05/10,0,256,0,2681,0,0,0,0,0,0,760410
16/05/11,50,25,3004,1724,0,0,0,0,0,0,760210
16/05/16,0,46,2377,2315,0,0,0,0,0,0,760210
16/05/17,0,0,13,12,0,0,0,0,0,0,761610
16/05/29,0,165,522,4345,0,0,0,0,0,0,760210
16/05/15,8,38,771,5880,0,0,0,0,0,0,760110
16/05/27,11,20,730,505,0,0,0,0,0,0,760010
16/05/25,0,1,0,302,0,0,0,0,0,0,770110
16/05/19,40,5,1825,880,0,0,0,0,0,0,760410
16/05/23,73,36,1917,1476,0,0,0,0,0,0,760310
16/05/08,0,0,13,7,0,0,0,0,0,0,761610
16/05/31,0,0,6,13,0,0,0,0,0,0,761610
16/05/20,27,50,3014,2034,0,0,0,0,0,0,760210
16/05/12,21,21,3044,1854,0,0,0,0,0,0,760210
16/4/12,72,26,1278,415,0,0,0,0,0,0,760310
16/05/13,16,4,3005,1833,0,0,0,0,0,0,760210
16/4/27,111,30,1620,905,0,0,0,0,0,0,760310
16/05/13,35,45,783,357,0,0,0,0,0,0,760010
16/05/10,0,398,0,6465,0,0,0,0,0,0,760110
16/05/06,51,40,1608,1181,0,0,0,0,0,0,760310
16/06/03,56,36,1836,1572,0,0,0,0,0,0,760310
16/06/04,0,0,0,3,0,0,0,0,0,0,700110
16/06/05,0,71,0,325,0,0,0,0,0,0,760310
16/4/15,113,36,1653,336,0,0,0,0,0,0,760310
16/05/29,20,89,321,6411,0,0,0,0,0,0,760110
16/05/28,0,69,0,337,0,0,0,0,0,0,770110
16/05/27,88,49,1701,1493,0,0,0,0,0,0,760310
16/05/26,0,0,0,11,0,0,0,0,0,0,700110
16/5/3,128,67,1757,937,0,0,0,0,0,0,760310
16/05/19,0,0,13,13,0,0,0,0,0,0,761610
16/05/09,0,3,0,16,0,0,0,0,0,0,700110
16/05/30,0,0,6,13,0,0,0,0,0,0,761610
16/05/22,12,207,1277,5266,0,0,0,0,0,0,760110
16/05/20,48,440,1859,972,0,0,0,0,0,0,760310
16/05/12,0,0,13,8,0,0,0,0,0,0,761610
16/05/04,142,30,1326,1248,0,0,0,0,0,0,760410
16/06/01,48,43,1799,1590,0,0,0,0,0,0,760310
16/05/07,0,1,0,16,0,0,0,0,0,0,700110
16/06/02,0,0,6,14,0,0,0,0,0,0,761610
16/05/06,0,1,0,16,0,0,0,0,0,0,700110
16/06/03,97,14,2924,2156,0,0,0,0,0,0,760210
16/05/16,0,0,13,12,0,0,0,0,0,0,761610
16/06/05,14,9,1740,887,0,0,0,0,0,0,760310
16/05/14,0,0,13,12,0,0,0,0,0,0,761610
16/06/06,31,31,847,541,0,0,0,0,0,0,760310
16/05/15,0,46,1861,2831,0,0,0,0,0,0,760210
16/05/27,0,32,0,305,0,0,0,0,0,0,770110
16/05/26,48,52,3012,2145,0,0,0,0,0,0,760210
16/05/18,58,42,1885,947,0,0,0,0,0,0,760310
16/05/19,0,33,0,239,0,0,0,0,0,0,770110
16/05/23,0,0,0,10,0,0,0,0,0,0,700110
16/05/22,182,48,3035,2084,0,0,0,0,0,0,760210
16/05/21,182,48,3035,2084,0,0,0,0,0,0,760210
16/05/12,53,15,875,806,0,0,0,0,0,0,760010
